text,label,created_at
pothole making road unsafe at night,Pothole,2025-02-22
neighbors playing loud TV all day please fix!!! (near market),Noise,2025-04-30
Factory noise beyond permissible limit needs attention,Noise,2025-08-03
streetlight bulb blown for weeks near my house (near market),Streetlight,2025-03-23
no zebra crossing near school since yesterday,Traffic,2025-02-22
Multiple potholes near intersection in my locality,Pothole,2025-01-23
bus stop blocked by vendors causing problems (near market),Traffic,2025-05-31
unhygienic conditions in public park since yesterday (near market),Sanitation,2025-04-27
burst water pipe flooding street please fix,Water,2025-08-21
"Please help, electric pole leaning dangerously",Electricity,2025-02-06
"Please help, sewer manhole cover missing",Sanitation,2025-05-19
sewage smell near apartment entrance,Sanitation,2025-04-28
rotting food smell near alley since yesterday,Garbage,2025-06-11
pole light damaged and sparking near my house,Streetlight,2025-05-16
potholes on main street slowing traffic,Pothole,2025-08-08
flies and pests due to poor sanitation in my locality,Sanitation,2025-09-10
multiple potholes near intersection,Pothole,2025-08-05
silted drain not cleaned for months please fix,Sanitation,2025-05-09
open drain overflowing and stinking,Sanitation,2025-05-17
transformer making noise and spark please fix (near market),Electricity,2025-05-15
"Please help, factory noise beyond permissible limit",Noise,2025-09-17
sewer manhole cover missing,Sanitation,2025-01-01
silted drain not cleaned for months since yesterday,Sanitation,2025-06-07
no water supply since morning (near market),Water,2025-09-06
bin lid broken and trash scattered causing problems,Garbage,2025-03-26
contaminated water smells bad causing problems,Water,2025-04-13
sewage mixing with water supply in my locality,Water,2025-09-22
overflowing traffic due to broken divider please fix (near market),Traffic,2025-04-28
Rag pickers scattering waste on street (near market),Sanitation,2025-02-04
Rotting food smell near alley since yesterday,Garbage,2025-04-20
"Please help, neighbors playing loud TV all day",Noise,2025-05-05
construction noise late at night in my locality,Noise,2025-08-05
unauthorized parking blocking road near my house,Traffic,2025-02-20
community garbage heap causing smell in my locality (near market),Garbage,2025-04-09
streetlight timer is not functioning causing problems,Streetlight,2025-05-08
garbage truck missed our area near my house (near market),Garbage,2025-01-08
multiple potholes near intersection,Pothole,2025-07-25
"Please help, community garbage heap causing smell",Garbage,2025-08-21
water supply irregular in our block in my locality,Water,2025-09-07
pothole causing two-wheelers to fall,Pothole,2025-02-01
Power cut since morning,Electricity,2025-03-22
Community garbage heap causing smell causing problems,Garbage,2025-05-01
congestion due to missing lane markings please fix,Traffic,2025-01-21
unhygienic conditions in public park please fix,Sanitation,2025-05-14
many streetlights are out since yesterday,Streetlight,2025-06-03
bus stop blocked by vendors since yesterday (near market),Traffic,2025-02-21
garbage truck missed our area causing problems,Garbage,2025-02-05
low water pressure in taps since yesterday,Water,2025-06-04
Untreated wastewater discharge in street causing problems,Sanitation,2025-02-23
potholes on main road slowing traffic urgent,Pothole,2025-05-20
water supply irregular in our block needs attention,Water,2025-05-16
factory noise beyond permissible limit near my house (near market),Noise,2025-08-05
Water cut for two days,Water,2025-05-15
streetlight not working in colony near my house (near market),Streetlight,2025-02-08
Pothole causing two-wheelers to fall causing problems,Pothole,2025-08-09
asphalt broken with potholes,Pothole,2025-01-21
meter box damaged causing outage,Electricity,2025-07-28
"Please help, unhygienic conditions in public park",Sanitation,2025-04-01
unauthorized parking blocking road,Traffic,2025-07-30
low water pressure in taps urgent,Water,2025-01-20
construction noise late at night,Noise,2025-04-27
streetlight bulb blown for weeks,Streetlight,2025-02-05
water cut for two days since yesterday,Water,2025-06-19
plastic waste dumped in park please fix,Garbage,2025-05-16
rotting food smell near alley please fix,Garbage,2025-08-12
sewer manhole cover missing causing problems,Sanitation,2025-01-23
traffic policeman not available at peak time,Traffic,2025-04-11
Electric pole leaning dangerously in my locality,Electricity,2025-06-10
pothole near school bus stop urgent,Pothole,2025-06-01
"Please help, open drain overflowing and stinking",Sanitation,2025-03-31
untreated wastewater discharge in street needs attention (near market),Sanitation,2025-05-27
many streetlights are out in my locality,Streetlight,2025-08-15
one-way sign missing causing confusion,Traffic,2025-03-28
huge pothole on the road urgent,Pothole,2025-05-01
sewage mixing with water supply (near market),Water,2025-09-01
untreated wastewater discharge in street please fix,Sanitation,2025-07-16
constant honking during odd hours in my locality (near market),Noise,2025-02-24
no zebra crossing near school,Traffic,2025-01-26
sewage smell near apartment entrance,Sanitation,2025-08-26
heavy machinery noise early morning causing problems,Noise,2025-09-16
no zebra crossing near school causing problems,Traffic,2025-08-19
contaminated water smells bad,Water,2025-09-06
no water supply since morning urgent,Water,2025-06-21
Power cut since morning causing problems,Electricity,2025-03-20
pole light damaged and sparking please fix,Streetlight,2025-02-01
many streetlights are out in my locality,Streetlight,2025-01-11
no public restroom in market area in my locality,Sanitation,2025-07-19
speed breakers missing on main road causing problems,Traffic,2025-04-23
generator noise causing disturbance,Noise,2025-07-27
lamp post flickering at night near my house,Streetlight,2025-07-21
rag pickers scattering waste on road needs attention,Sanitation,2025-08-25
broken streetlight near park,Streetlight,2025-06-22
billing issue and sudden disconnect urgent,Electricity,2025-02-11
construction noise late at night,Noise,2025-04-25
bin lid broken and trash scattered,Garbage,2025-01-11
"Please help, unhygienic conditions in public park (near market)",Sanitation,2025-04-22
illegal encroachment reduces carriageway urgent,Traffic,2025-02-28
streetlight not working in colony urgent!!!,Streetlight,2025-07-12
Traffic signal not working at junction,Traffic,2025-02-22
tankers not arriving on schedule needs attention,Water,2025-01-22
no electricity in whole lane causing problems,Electricity,2025-06-24
overflowing dustbin on my street in my locality,Garbage,2025-08-24
pothole causing two-wheelers to fall in my locality,Pothole,2025-09-05
illegal encroachment reduces carriageway in my locality,Traffic,2025-05-06
multiple potholes near intersection urgent,Pothole,2025-07-14
transformer making noise and spark,Electricity,2025-07-01
contaminated water smells bad since yesterday,Water,2025-01-06
Dog barking nonstop in the colony,Noise,2025-05-04
construction noise late at night near my house!!!,Noise,2025-07-27
low water pressure in taps urgent,Water,2025-06-26
no zebra crossing near school causing problems,Traffic,2025-05-09
park lights not turning on please fix,Streetlight,2025-04-05
streetlight timer is not functioning,Streetlight,2025-09-26
silted drain not cleaned for months urgent,Sanitation,2025-07-04
Streetlights off on this road urgent,Streetlight,2025-01-28
open drain overflowing and stinking urgent,Sanitation,2025-09-09
deep pothole filled with water,Pothole,2025-04-05
illegal dumping behind the shop urgent,Garbage,2025-07-25
generator noise causing disturbance please fix,Noise,2025-06-05
huge pothole on the street,Pothole,2025-04-26
dog barking nonstop in the colony in my locality,Noise,2025-08-08
sewage mixing with water supply needs attention,Water,2025-04-17
pole light damaged and sparking urgent,Streetlight,2025-02-08
streetlight not working in colony,Streetlight,2025-01-17
park lights not turning on urgent,Streetlight,2025-04-30
contaminated water smells bad needs attention,Water,2025-04-26
pothole causing two-wheelers to fall urgent,Pothole,2025-06-07
silted drain not cleaned for months needs attention,Sanitation,2025-06-05
congestion due to missing lane markings urgent (near market),Traffic,2025-01-21
traffic policeman not available at peak time since yesterday!!!,Traffic,2025-01-11
Tap water is muddy and brown needs attention,Water,2025-08-15
"Please help, water cut for two days",Water,2025-02-16
construction noise late at night since yesterday (near market),Noise,2025-03-24
frequent power outages at night in my locality,Electricity,2025-01-19
bus stop blocked by vendors please fix,Traffic,2025-07-26
party music at 3 AM every weekend,Noise,2025-04-07
dog barking nonstop in the colony since yesterday,Noise,2025-01-27
many streetlights are out urgent,Streetlight,2025-09-06
pothole near school bus stop,Pothole,2025-03-23
Sewage mixing with water supply causing problems,Water,2025-02-28
illegal encroachment reduces carriageway please fix,Traffic,2025-05-30
party music at 3 AM every weekend urgent,Noise,2025-08-22
"Please help, open drain overflowing and stinking",Sanitation,2025-03-11
bin lid broken and trash scattered urgent,Garbage,2025-09-17
tap water is muddy and brown,Water,2025-09-08
pothole causing two-wheelers to fall near my house,Pothole,2025-07-13
bus stop blocked by vendors since yesterday,Traffic,2025-07-16
Park lights not turning on in my locality,Streetlight,2025-07-15
"Please help, short circuit in street distribution!!!",Electricity,2025-06-19
Pothole causing damage to vehicle near my house (near market),Pothole,2025-03-15
"Please help, unauthorized parking blocking road",Traffic,2025-07-23
huge pothole on the road since yesterday,Pothole,2025-06-12
Generator noise causing disturbance causing problems,Noise,2025-05-28
park lights not turning on please fix,Streetlight,2025-02-21
"Please help, one-way sign missing causing confusion (near market)",Traffic,2025-01-29
burst water pipe flooding street since yesterday,Water,2025-04-03
"Please help, lamp post flickering at night",Streetlight,2025-05-04
constant honking during odd hours needs attention,Noise,2025-05-11
overflowing dustbin on my street near my house,Garbage,2025-08-15
no electricity in whole lane needs attention,Electricity,2025-08-22
tankers not arriving on schedule (near market),Water,2025-07-15
no public restroom in market area since yesterday,Sanitation,2025-07-22
water cut for two days,Water,2025-01-26
sewer manhole cover missing near my house,Sanitation,2025-04-28
sewer manhole cover missing since yesterday,Sanitation,2025-03-12
pothole causing damage to vehicle,Pothole,2025-03-09
multiple potholes near intersection urgent,Pothole,2025-07-07
heavy machinery noise early morning causing problems,Noise,2025-09-04
burst water pipe flooding street since yesterday (near market),Water,2025-04-26
traffic signal not working at junction causing problems (near market),Traffic,2025-03-05
bus stop blocked by vendors since yesterday,Traffic,2025-07-10
deep pothole filled with water,Pothole,2025-06-17
untreated wastewater discharge in street,Sanitation,2025-06-04
unauthorized parking blocking road please fix,Traffic,2025-09-10
pothole making road unsafe at night please fix,Pothole,2025-07-09
neighbors playing loud TV all day in my locality,Noise,2025-02-20
generator noise causing disturbance needs attention (near market),Noise,2025-07-09
pole light damaged and sparking near my house,Streetlight,2025-07-08
Neighbors playing loud tv all day since yesterday,Noise,2025-08-21
multiple potholes near intersection (near market),Pothole,2025-06-20
"Please help, low water pressure in taps",Water,2025-04-17
rag pickers scattering waste on street,Sanitation,2025-01-02
"Please help, water cut for two days",Water,2025-02-26
"Please help, plastic waste dumped in park",Garbage,2025-06-15
"Please help, garbage not collected for days",Garbage,2025-02-28
bin lid broken and trash scattered near my house,Garbage,2025-08-20
factory noise beyond permissible limit!!!,Noise,2025-09-24
tankers not arriving on schedule near my house!!!,Water,2025-07-25
no zebra crossing near school please fix (near market),Traffic,2025-02-11
"electricity not stable, voltage drop needs attention",Electricity,2025-06-16
billing issue and sudden disconnect needs attention,Electricity,2025-02-20
pothole making road unsafe at night causing problems,Pothole,2025-04-27
unauthorized parking blocking road since yesterday,Traffic,2025-06-10
no zebra crossing near school since yesterday,Traffic,2025-08-31
bin lid broken and trash scattered please fix (near market),Garbage,2025-07-10
Asphalt broken with potholes causing problems,Pothole,2025-03-04
unauthorized parking blocking road since yesterday,Traffic,2025-01-27
water supply irregular in our block needs attention,Water,2025-03-21
loud music from nearby shop past midnight,Noise,2025-02-28
water cut for two days needs attention,Water,2025-01-14
Sewer manhole cover missing urgent,Sanitation,2025-06-23
no electricity in whole lane,Electricity,2025-02-05
Dangerous pothole after rain,Pothole,2025-08-21
"Please help, transformer making noise and spark",Electricity,2025-02-13
"Please help, illegal dumping behind the shop",Garbage,2025-05-20
one-way sign missing causing confusion in my locality,Traffic,2025-09-20
pothole making road unsafe at night since yesterday,Pothole,2025-09-07
Heavy machinery noise early morning urgent,Noise,2025-01-04
many streetlights are out urgent,Streetlight,2025-05-29
"Electricity not stable, voltage drop please fix",Electricity,2025-07-14
amplifier used without permission,Noise,2025-02-06
traffic signal not working at junction (near market),Traffic,2025-06-10
no public restroom in market area in my locality,Sanitation,2025-02-28
congestion due to missing lane markings,Traffic,2025-08-24
electric pole leaning dangerously please fix,Electricity,2025-07-25
heavy machinery noise early morning please fix,Noise,2025-06-20
lamp post flickering at night please fix,Streetlight,2025-06-28
"Please help, no electricity in whole lane",Electricity,2025-03-20
"Please help, garbage truck missed our area",Garbage,2025-08-18
blocked drain causing mosquitoes needs attention,Sanitation,2025-08-14
bin lid broken and trash scattered near my house,Garbage,2025-01-29
Meter box damaged causing outage causing problems (near market),Electricity,2025-07-08
water supply irregular in our block please fix (near market),Water,2025-09-17
short circuit in street distribution near my house,Electricity,2025-01-22
overflowing traffic due to broken divider needs attention,Traffic,2025-03-19
community garbage heap causing smell near my house,Garbage,2025-02-13
"Please help, factory noise beyond permissible limit",Noise,2025-09-26
dog barking nonstop in the colony needs attention,Noise,2025-07-29
Transformer making noise and spark needs attention,Electricity,2025-06-18
pothole causing damage to vehicle causing problems,Pothole,2025-03-18
frequent power outages at night please fix,Electricity,2025-07-20
asphalt broken with potholes needs attention,Pothole,2025-06-18
Asphalt broken with potholes causing problems,Pothole,2025-01-10
electric pole leaning dangerously urgent,Electricity,2025-09-06
streetlight timer is not functioning,Streetlight,2025-02-21
factory noise beyond permissible limit causing problems (near market),Noise,2025-06-22
"Please help, unhygienic conditions in public park",Sanitation,2025-03-26
one-way sign missing causing confusion,Traffic,2025-08-16
untreated wastewater discharge in street urgent,Sanitation,2025-05-03
sewage mixing with water supply near my house,Water,2025-08-14
illegal encroachment reduces carriageway urgent,Traffic,2025-03-24
dark street due to faulty light needs attention,Streetlight,2025-07-10
open drain overflowing and stinking please fix,Sanitation,2025-02-12
streetlight not working in colony urgent,Streetlight,2025-02-16
streetlight bulb blown for weeks near my house,Streetlight,2025-07-22
factory noise beyond permissible limit since yesterday,Noise,2025-01-15
power cut since morning please fix,Electricity,2025-03-12
rotting food smell near alley urgent,Garbage,2025-08-29
Overflowing traffic due to broken divider needs attention,Traffic,2025-03-18
open drain overflowing and stinking needs attention,Sanitation,2025-06-04
pothole near school bus stop,Pothole,2025-02-02
pothole making road unsafe at night near my house!!!,Pothole,2025-05-04
dangerous pothole after rain urgent,Pothole,2025-08-02
broken streetlight near park please fix,Streetlight,2025-09-17
Factory noise beyond permissible limit causing problems (near market),Noise,2025-07-18
live wire hanging on road urgent (near market),Electricity,2025-05-04
deep pothole filled with water needs attention (near market),Pothole,2025-06-23
streetlights off on this road near my house,Streetlight,2025-03-11
Bin lid broken and trash scattered near my house,Garbage,2025-01-22
power cut since morning urgent,Electricity,2025-05-10
rotting food smell near alley (near market),Garbage,2025-06-19
tap water is muddy and brown please fix,Water,2025-08-14
short circuit in street distribution since yesterday,Electricity,2025-09-23
tap water is muddy and brown please fix,Water,2025-04-03
neighbors playing loud TV all day urgent,Noise,2025-06-06
overflowing traffic due to broken divider needs attention,Traffic,2025-08-17
rats near the dustbin due to garbage since yesterday,Garbage,2025-01-30
garbage truck missed our area in my locality,Garbage,2025-01-16
dangerous pothole after rain needs attention,Pothole,2025-05-01
electric pole leaning dangerously since yesterday,Electricity,2025-08-19
live wire hanging on road since yesterday,Electricity,2025-07-07
traffic signal not working at junction since yesterday (near market),Traffic,2025-04-06
constant honking during odd hours causing problems,Noise,2025-05-14
overflowing traffic due to broken divider,Traffic,2025-09-09
dark street due to faulty light please fix,Streetlight,2025-08-16
multiple potholes near intersection since yesterday,Pothole,2025-05-29
"Please help, tankers not arriving on schedule",Water,2025-07-05
party music at 3 AM every weekend,Noise,2025-09-10
plastic waste dumped in park since yesterday,Garbage,2025-03-08
Untreated wastewater discharge in street please fix,Sanitation,2025-09-03
heavy machinery noise early morning in my locality (near market),Noise,2025-06-12
garbage truck missed our area near my house,Garbage,2025-04-04
asphalt broken with potholes in my locality,Pothole,2025-09-23
pothole causing two-wheelers to fall urgent,Pothole,2025-06-27
dog barking nonstop in the colony urgent,Noise,2025-05-21
asphalt broken with potholes urgent,Pothole,2025-03-20
lamp post flickering at night needs attention,Streetlight,2025-01-22
Plastic waste dumped in park please fix,Garbage,2025-04-18
no public restroom in market area in my locality!!!,Sanitation,2025-05-29
tankers not arriving on schedule near my house,Water,2025-08-21
garbage truck missed our area,Garbage,2025-06-24
"Please help, sewer manhole cover missing",Sanitation,2025-06-26
"Please help, congestion due to missing lane markings (near market)",Traffic,2025-05-04
illegal encroachment reduces carriageway please fix (near market),Traffic,2025-05-29
short circuit in street distribution needs attention,Electricity,2025-06-17
no public restroom in market area since yesterday,Sanitation,2025-08-28
constant honking during odd hours urgent,Noise,2025-08-23
no water supply since morning!!!,Water,2025-08-29
Water supply irregular in our block causing problems,Water,2025-05-16
electric pole leaning dangerously in my locality,Electricity,2025-04-10
electric pole leaning dangerously causing problems,Electricity,2025-05-24
unhygienic conditions in public park needs attention,Sanitation,2025-06-23
sewage smell near apartment entrance since yesterday,Sanitation,2025-09-14
Rats near the dustbin due to garbage,Garbage,2025-09-23
"Please help, bus stop blocked by vendors",Traffic,2025-06-13
streetlight not working in colony in my locality,Streetlight,2025-06-22
factory noise beyond permissible limit causing problems,Noise,2025-01-09
live wire hanging on road since yesterday,Electricity,2025-01-14
silted drain not cleaned for months near my house,Sanitation,2025-04-27
illegal dumping behind the shop needs attention,Garbage,2025-07-14
Dangerous pothole after rain (near market),Pothole,2025-01-10
one-way sign missing causing confusion since yesterday,Traffic,2025-09-14
untreated wastewater discharge in street near my house (near market),Sanitation,2025-03-12
dog barking nonstop in the colony,Noise,2025-07-12
"Please help, power cut since morning",Electricity,2025-05-16
untreated wastewater discharge in street near my house,Sanitation,2025-04-26
tankers not arriving on schedule urgent,Water,2025-09-03
no electricity in whole lane causing problems,Electricity,2025-03-04
no public restroom in market area causing problems,Sanitation,2025-03-16
burst water pipe flooding street,Water,2025-08-15
water pipeline leakage on road near my house,Water,2025-05-20
potholes on main road slowing traffic please fix,Pothole,2025-04-26
park lights not turning on,Streetlight,2025-03-12
there is garbage near my home causing problems,Garbage,2025-09-01
loud music from nearby shop past midnight,Noise,2025-01-31
multiple potholes near intersection needs attention,Pothole,2025-01-20
streetlights off on this road in my locality,Streetlight,2025-07-23
"Please help, constant honking during odd hours",Noise,2025-01-20
overflowing dustbin on my street urgent,Garbage,2025-05-26
bus stop blocked by vendors causing problems,Traffic,2025-09-16
illegal encroachment reduces carriageway urgent,Traffic,2025-08-23
"Please help, water pipeline leakage on road",Water,2025-04-09
streetlights off on this road needs attention,Streetlight,2025-09-21
"electricity not stable, voltage drop please fix",Electricity,2025-09-02
"Electricity not stable, voltage drop",Electricity,2025-05-17
frequent power outages at night urgent,Electricity,2025-07-04
no water supply since morning,Water,2025-09-15
sewage mixing with water supply please fix,Water,2025-04-24
"Please help, streetlight bulb blown for weeks",Streetlight,2025-07-11
speed breakers missing on main road causing problems,Traffic,2025-04-22
low water pressure in taps needs attention,Water,2025-07-05
garbage truck missed our area needs attention,Garbage,2025-04-14
no public restroom in market area causing problems,Sanitation,2025-03-01
many streetlights are out needs attention,Streetlight,2025-01-29
"Please help, bus stop blocked by vendors (near market)",Traffic,2025-08-25
sewage mixing with water supply,Water,2025-02-07
rats near the dustbin due to garbage in my locality,Garbage,2025-02-05
construction noise late at night,Noise,2025-08-04
live wire hanging on road in my locality,Electricity,2025-02-11
"Please help, neighbors playing loud TV all day",Noise,2025-07-21
"Please help, heavy machinery noise early morning (near market)",Noise,2025-01-12
tankers not arriving on schedule near my house,Water,2025-04-28
low water pressure in taps near my house,Water,2025-02-27
rotting food smell near alley in my locality,Garbage,2025-05-04
many streetlights are out please fix!!!,Streetlight,2025-01-25
low water pressure in taps,Water,2025-01-29
potholes on main road slowing traffic causing problems,Pothole,2025-06-13
no public restroom in market area needs attention,Sanitation,2025-03-15
dog barking nonstop in the colony,Noise,2025-03-31
no zebra crossing near school causing problems,Traffic,2025-07-15
heavy machinery noise early morning since yesterday,Noise,2025-04-05
amplifier used without permission near my house,Noise,2025-03-15
illegal encroachment reduces carriageway,Traffic,2025-03-10
short circuit in street distribution (near market),Electricity,2025-08-19
live wire hanging on road please fix (near market),Electricity,2025-07-13
Sewer manhole cover missing needs attention,Sanitation,2025-04-22
loud music from nearby shop past midnight,Noise,2025-01-08
pole light damaged and sparking,Streetlight,2025-09-03
low water pressure in taps needs attention,Water,2025-06-14
water supply irregular in our block in my locality,Water,2025-07-04
party music at 3 AM every weekend near my house,Noise,2025-06-13
many streetlights are out since yesterday!!!,Streetlight,2025-03-16
garbage not collected for days urgent,Garbage,2025-06-01
pothole causing two-wheelers to fall,Pothole,2025-09-13
open drain overflowing and stinking since yesterday,Sanitation,2025-09-09
"Please help, bus stop blocked by vendors",Traffic,2025-09-08
broken streetlight near park causing problems,Streetlight,2025-02-08
illegal dumping behind the shop,Garbage,2025-03-19
overflowing dustbin on my street,Garbage,2025-09-05
Generator noise causing disturbance (near market),Noise,2025-05-21
Amplifier used without permission urgent,Noise,2025-04-02
deep pothole filled with water please fix,Pothole,2025-05-10
meter box damaged causing outage urgent,Electricity,2025-08-24
blocked drain causing mosquitoes,Sanitation,2025-02-11
rotting food smell near alley please fix,Garbage,2025-01-05
lamp post flickering at night please fix,Streetlight,2025-02-18
heavy machinery noise early morning,Noise,2025-09-01
tap water is muddy and brown,Water,2025-01-17
Streetlights off on this road since yesterday,Streetlight,2025-07-23
garbage truck missed our area urgent,Garbage,2025-07-19
neighbors playing loud TV all day since yesterday,Noise,2025-02-10
Factory noise beyond permissible limit since yesterday,Noise,2025-06-24
sewer manhole cover missing needs attention,Sanitation,2025-01-16
tap water is muddy and brown near my house,Water,2025-08-10
broken streetlight near park needs attention,Streetlight,2025-05-07
garbage truck missed our area please fix,Garbage,2025-03-20
short circuit in street distribution since yesterday,Electricity,2025-08-16
electric pole leaning dangerously urgent,Electricity,2025-09-20
Unauthorized parking blocking road please fix (near market),Traffic,2025-06-16
short circuit in street distribution (near market),Electricity,2025-05-05
no public restroom in market area causing problems,Sanitation,2025-06-04
tap water is muddy and brown near my house,Water,2025-06-03
loud music from nearby shop past midnight please fix,Noise,2025-09-11
silted drain not cleaned for months needs attention,Sanitation,2025-07-22
frequent power outages at night needs attention,Electricity,2025-08-09
"Please help, silted drain not cleaned for months",Sanitation,2025-09-03
"Please help, power cut since morning",Electricity,2025-09-09
no public restroom in market area,Sanitation,2025-07-06
pothole making road unsafe at night needs attention,Pothole,2025-01-14
illegal encroachment reduces carriageway,Traffic,2025-07-29
"Please help, constant honking during odd hours",Noise,2025-08-05
billing issue and sudden disconnect please fix,Electricity,2025-09-17
Speed breakers missing on main road causing problems,Traffic,2025-02-13
deep pothole filled with water,Pothole,2025-01-23
blocked drain causing mosquitoes in my locality,Sanitation,2025-02-24
overflowing dustbin on my street please fix,Garbage,2025-04-24
overflowing traffic due to broken divider since yesterday,Traffic,2025-09-14
pothole causing two-wheelers to fall since yesterday,Pothole,2025-02-13
"Please help, pothole making road unsafe at night",Pothole,2025-09-24
loud music from nearby shop past midnight since yesterday,Noise,2025-06-13
Bin lid broken and trash scattered urgent (near market),Garbage,2025-06-25
"Please help, deep pothole filled with water",Pothole,2025-03-23
frequent power outages at night causing problems,Electricity,2025-04-05
broken streetlight near park in my locality,Streetlight,2025-08-19
rag pickers scattering waste on road in my locality,Sanitation,2025-02-02
no public restroom in market area please fix,Sanitation,2025-04-11
bus stop blocked by vendors please fix,Traffic,2025-06-10
silted drain not cleaned for months in my locality,Sanitation,2025-08-23
"Please help, unhygienic conditions in public park",Sanitation,2025-02-13
potholes on main road slowing traffic since yesterday,Pothole,2025-03-14
party music at 3 AM every weekend in my locality,Noise,2025-04-06
generator noise causing disturbance causing problems,Noise,2025-03-27
generator noise causing disturbance urgent,Noise,2025-01-28
meter box damaged causing outage,Electricity,2025-09-16
constant honking during odd hours in my locality,Noise,2025-09-08
lamp post flickering at night please fix,Streetlight,2025-01-17
water cut for two days,Water,2025-09-11
open drain overflowing and stinking causing problems,Sanitation,2025-07-07
neighbors playing loud TV all day,Noise,2025-08-06
deep pothole filled with water,Pothole,2025-06-28
multiple potholes near intersection near my house,Pothole,2025-04-18
rag pickers scattering waste on road since yesterday,Sanitation,2025-03-13
many streetlights are out,Streetlight,2025-03-28
"electricity not stable, voltage drop urgent",Electricity,2025-02-18
potholes on main road slowing traffic in my locality,Pothole,2025-03-06
asphalt broken with potholes,Pothole,2025-07-21
"Please help, generator noise causing disturbance",Noise,2025-08-20
garbage truck missed our area please fix,Garbage,2025-07-08
bus stop blocked by vendors near my house!!!,Traffic,2025-02-17
bus stop blocked by vendors since yesterday,Traffic,2025-08-08
pole light damaged and sparking near my house,Streetlight,2025-03-08
blocked drain causing mosquitoes near my house,Sanitation,2025-01-24
Pothole causing damage to vehicle near my house,Pothole,2025-08-22
there is garbage near my home in my locality,Garbage,2025-06-04
Streetlight not working in colony urgent (near market),Streetlight,2025-03-26
illegal dumping behind the shop in my locality,Garbage,2025-08-08
Multiple potholes near intersection please fix,Pothole,2025-04-26
Dog barking nonstop in the colony near my house,Noise,2025-08-05
Asphalt broken with potholes near my house,Pothole,2025-02-22
deep pothole filled with water since yesterday,Pothole,2025-03-10
dangerous pothole after rain please fix!!!,Pothole,2025-08-14
no electricity in whole lane,Electricity,2025-08-15
pole light damaged and sparking please fix,Streetlight,2025-07-16
no electricity in whole lane in my locality,Electricity,2025-02-13
low water pressure in taps causing problems,Water,2025-01-14
tankers not arriving on schedule,Water,2025-06-01
illegal dumping behind the shop,Garbage,2025-02-06
heavy machinery noise early morning,Noise,2025-08-04
electric pole leaning dangerously causing problems,Electricity,2025-02-07
Garbage not collected for days needs attention (near market),Garbage,2025-01-31
traffic signal not working at junction causing problems,Traffic,2025-08-05
congestion due to missing lane markings please fix,Traffic,2025-02-12
sewage mixing with water supply please fix,Water,2025-06-17
traffic signal not working at junction needs attention,Traffic,2025-02-03
sewage mixing with water supply in my locality (near market),Water,2025-02-14
traffic policeman not available at peak time please fix,Traffic,2025-03-31
pothole near school bus stop,Pothole,2025-06-27
dog barking nonstop in the colony causing problems,Noise,2025-03-06
tap water is muddy and brown please fix!!!,Water,2025-05-20
heavy machinery noise early morning please fix,Noise,2025-09-12
bus stop blocked by vendors causing problems,Traffic,2025-07-08
streetlight not working in colony urgent,Streetlight,2025-03-01
Park lights not turning on causing problems (near market),Streetlight,2025-01-24
construction noise late at night since yesterday,Noise,2025-01-19
open drain overflowing and stinking in my locality,Sanitation,2025-06-13
tap water is muddy and brown please fix,Water,2025-01-27
streetlights off on this street,Streetlight,2025-02-05
illegal encroachment reduces carriageway urgent (near market),Traffic,2025-08-22
overflowing dustbin on my street since yesterday,Garbage,2025-05-05
illegal encroachment reduces carriageway since yesterday,Traffic,2025-04-11
neighbors playing loud TV all day (near market),Noise,2025-06-27
Overflowing dustbin on my street since yesterday,Garbage,2025-06-07
deep pothole filled with water,Pothole,2025-01-31
Dangerous pothole after rain urgent,Pothole,2025-09-24
unauthorized parking blocking road since yesterday,Traffic,2025-09-16
Potholes on main road slowing traffic in my locality,Pothole,2025-03-08
no water supply since morning urgent,Water,2025-06-17
power cut since morning near my house,Electricity,2025-02-25
pothole causing two-wheelers to fall please fix,Pothole,2025-07-03
many streetlights are out near my house (near market),Streetlight,2025-03-22
